City,Category,Name of the Organisation,Description and/or Service Provided,Phone Number,Contact
Agartala,CoVID-19 Testing Lab, Government Medical College,Government approved and supported Testing labs by ICMR,0381 2356701,http://www.agmc.nic.in/
Agartala,CoVID-19 Testing Lab,Government Medical College,Government approved and supported Testing labs by ICMR,381 235 6701,http://www.agmc.nic.in/
Ahmedabad,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Soul connect,Distributing grains at jamalpur and thaltej areas,9275047215,https://www.facebook.com/lmp.soulconnect/
Ahmedabad,Free Food,AMC,"Ahmedabad Municipal Corporation provide free food packets, Food Kits, Fumigation Work, Quarantine, Vegetables on Wheels, Health Checkup",9726416131,https://twitter.com/vnehra/status/1244443394039922689?s=21
Ahmedabad,Other,Special website byGovt of gujarat for covid19,https://gujcovid19.gujarat.gov.in/,7600787089,https://gujcovid19.gujarat.gov.in/
Ahmedabad,CoVID-19 Testing Lab,BJ Medical College,Government approved and supported Testing labs by ICMR,79 2268 0074,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Ahmedabad,Free Food,Infoanalytica foundation,Providing food in times of covid,9727988901,https://www.instagram.com/infoanalytica_foundation/
Ahmedabad,Free Food,Elixir Foundation,Funds will utilized for buying grocery materials  and another basic necessities. ,9016558924,https://pages.razorpay.com/pl_EW357Eyk0tOlaa/view
Ahmednagar,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Snehalaya,"Drive to provide 'Midday meal to families living in slums' around the area where they work. People can contributefood grains, vegetables or other fresh food items to the slum community directly or through them. Snehalaya plans to take this drive to 17 official slums in Ahmednagar. ",9011020173,https://www.snehalaya.org
Ajmer,CoVID-19 Testing Lab, JLN Medical College,Government approved and supported Testing labs by ICMR,0145 2425050,https://education.rajasthan.gov.in/jlnmcajmer
Ajmer,CoVID-19 Testing Lab,JLN Medical College,Government approved and supported Testing labs by ICMR,145 242 5050,https://education.rajasthan.gov.in/jlnmcajmer
Alappuzha,Hospitals and Centers,Govt. Medical College,Covid care treatment & isolation facility here,0477–2282367,https://www.tdmcalappuzha.org/
Alappuzha,Government Helpline,District Corona Control Room,Phone number of district corona control room - Alapuzha,04772239999,http://www.alappuzha.nic.in
Alappuzha,CoVID-19 Testing Lab,National Institute of Virology Field Unit,Government approved and supported Testing labs by ICMR,0477 2282367,https://www.tdmcalappuzha.org/
Alappuzha,CoVID-19 Testing Lab,national institute of virology,Government approved and supported Testing labs by ICMR,NA,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Aligarh,CoVID-19 Testing Lab, Jawaharlal Nehru Medical College,Government approved and supported Testing labs by ICMR,Not availed,https://amu.ac.in/principal.jsp?did=10146
Aligarh,Free Food,Meraj Foundation ,Providing food to needy.,8700359640,https://www.instagram.com/meraj_foundation/
Amritsar,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,0183 2426918,http://gmc.edu.in/
Amritsar,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,183 242 6918,http://gmc.edu.in/
Anantapur,CoVID-19 Testing Lab,Govt. Medical College,Government Approved and Supported Testing Lab by ICMR,NA,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Aurangabad,Free Food,Minhaj Interfaith and Welfare Foundation,"We at MIWF are mobilizing funds plus and distributing 3 weeks of ration kits for a family of 4. Currently our volunteers have served kits to 1500+ families in these citiesMumbai, Navi Mumbai, Delhi, Kashmir, Lucknow, Aurangabad, Mysore, Mundra(Kutch), Bhuj (Kutch), Prayagraj, Nagpur, Nasik, Thane, Bhiwandi, Baroda, Hassan, Kanpur and counting",9833307820,http://www.miwf.in/feed-the-poor-in-covid-19-lockdown
Aurangabad,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,240 240 2412,http://www.gmcaurangabad.com/
Bambolim,CoVID-19 Testing Lab,Goa medical college,Government approved and supported Testing labs by ICMR,832 249 5393,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Bangalore,Police,Banashankari police Station,Police,08022942564,https://www.bcp.gov.in/
Bangalore,Mental well being and Emotional support,National Institute of Mental Health and Neurosciences (NIMHANS),Toll-free no for behavioral and mental health issue counseling.,08046110007,https://nimhans.ac.in/
Bangalore,CoVID-19 Testing Lab,Rajiv Gandhi Institute For Chest Disesas,The place to go if you have any symptoms,080 26088500,http://www.sdstrcrgicd.org/
Bangalore,CoVID-19 Testing Lab,Anand Diagnostic Laboratory Banashankari,Test Center for covid 19,080 26769036,http://www.anandlab.com/
Bangalore,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",MP Tejasvi Surya's Volunteer team,Contact on below number. MP Tejasvi's team has been very active on supporting requests,9946499464,http://www.tejasvisurya.in
Bangalore,Free Food,Bangalore Food Helpline,Initiative by BBMP Bangalore to provide food for the needy,155214,http://bbmp.gov.in/en/web/guest/home
Bangalore,Government Helpline,Covid 19 Medical Helpline,Government of Karnataka Covid 19 Medical Helpline,08046848600,https://covid19.karnataka.gov.in/wordpress/
Bangalore,Senior Citizen Support,Caremongers India,"Voluntar driven organisation helping senior citizens, physically challenged and others ",9591168886,http://www.caremongersindia.com
Bangalore,Free Food,Hasirudala," Supporting Vulnerable Wastepickers during the COVID-19 Lockdown  Dear friends and donors,  The Hasiru Dala team and volunteers were hard at work today (in some cases well past sunset). In Bengaluru alone they loaded 52 tonnes of relief material (care kits now contain enough material to last a month). We distributed 119 care kits in Mysuru, 88 in Hubli-Dharwad, and a further 21 in Davangere and 658 in Bengaluru.",80-22355553,https://www.facebook.com/Hasirudala/
Bangalore,CoVID-19 Testing Lab,Bangalore Medical College & Research Institute,Government approved and supported Testing labs by ICMR,080 26700810,http://www.bmcri.org/
Bangalore,CoVID-19 Testing Lab,Command Hospital (Air Force) ,Government approved and supported Testing labs by ICMR,080 25301215,https://www.chaf-b.org/
Bangalore,Fundraisers,TUF- Mercymission (Federation of Bangalore NGO's collective movement),Provide essentials to slums,8892780200,https://www.instamojo.com/@tufindia
Bangalore,Other,BHUMI,Helpline,9999713542,https://www.bhumi.ngo/
Bangalore,CoVID-19 Testing Lab,Command Hospital (Air Force),Government approved and supported Testing labs by ICMR,80 2530 1215,https://www.chaf-b.org/
Bangalore,CoVID-19 Testing Lab,National Institute of Virology,Government approved and supported Testing labs by ICMR,NA,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Bangalore,Fundraisers,Sangama,"Sangama plans to provide 350 family units of sexworkers and 150 transpeople whose livelihoods also depend on begging, with a monthly pakage of Rs 2000, for the months of April and May 2020. While half of this will be given in cash, the other half will be given as essential food rations for the home",9811604487,https://www.ourdemocracy.in/Campaign/supportsangama
Bangalore,Free Food,Gubbachi Learning Community,Organizing food grains for daily wage workers and their famiilies. They are also handing over worksheets to to kids that they are able to reach out to in order to prevent learning losses,9845455357,https://www.facebook.com/gubbachilearningcommunity/
Bangalore,Accommodation,Archdiocese of Bangalore,"1. St. Philomena’s School, Railway Colony, Magadi Road 
2. St. Joseph’s School, Briand Square, Mysore Road
3. St. Xavier’s School, Shivajinagar
4. St. Lourdes School, Cubbonpet
5. St. Lourdes School, Halasuru (Ulsoor)
Contacts 
St Philomena's School 23150168
Fr Francis Christopher 8197942010

Lourdes School, Halsuru 41135296
Fr Arokiaswamy D 9916612646

St Joseph's School 26708981
Mr Josaph 9164100367
Fr Sandyagu 9886095127

Lourdes School, Cubbonpete 22210811
Mrs Angela Mercy 9739550542

St Mary's School, Shivajinagar
Mrs Mavis Pedasta 9945065133
Fr Martin Kumar 9845251315",9740255771,https://www.bangalorearchdiocese.org/
Bangalore,Fundraisers,International Association for Human Values,"The CoVid -19 pandemic is pushing the world towards an economic slowdown. India’s Daily Wage Earners and their families have been the worst hit by the lockdown. These unprecedented times require us to come together with immediate measures. The International Association for Human Values, The Art of Living Foundation and the Indian Film and Television Industry have launched this campaign to support our Daily Wage Earners in their time of need.",9886660006,https://www.iahv.org/in-en/donate/
Belgaum,Government Helpline,`Belgaum Corona District Help Line,Belgaum Corona District Help Line,08312407290,http://belagavi.nic.in
Bellary,Government Helpline,District Corona Helpline for Bellary,District Corona Helpline for Bellary,08392277100,http://www.ballari.nic.in
Bhavnagar,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,278 251 0236,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Bhopal,CoVID-19 Testing Lab,"All India Institute of Medical Sciences, Bhopal",Government approved and supported Testing labs by ICMR,0755 2672322,http://www.aiimsbhopal.edu.in/
Bhopal,CoVID-19 Testing Lab,All India Institute of Medical Sciences,Government approved and supported Testing labs by ICMR,755 267 2322,http://www.aiimsbhopal.edu.in/
Bhopal,CoVID-19 Testing Lab,Gandhi Medical College,Government approved and supported Testing labs by ICMR,755 254 0590,http://www.gmcbhopal.net/
Bhubaneswar,CoVID-19 Testing Lab,Regional Medical Research Centre,Government approved and supported Testing labs by ICMR,0674 2301322,http://www.rmrcbbsr.gov.in/
Bhubaneswar,CoVID-19 Testing Lab,Regional Medical Research Centre,Government approved and supported Testing labs by ICMR,674 230 1322,http://www.rmrcbbsr.gov.in/
Bhubaneswar,CoVID-19 Testing Lab,All India Institute of Medical Sciences,Government approved and supported Testing labs by ICMR,674 247 6789,https://aiimsbhubaneswar.nic.in/
Bhubaneswar,Other,Society for Human Resources and Ecological Development,Voluntary organisation in Boudh District,9445996557,http://www.shedboudh.com
Bidar,Government Helpline,District Corona Helpline,District Corona Helpline for Bidar ,18004254316,http://bidar.nic.in
Bidhannagar,Mental well being and Emotional support,SALT LAKE CITY PRAYASAM,We will provide soft  copy of various awareness material ,8240047706,https://www.prayasam.org
Bikaner,CoVID-19 Testing Lab, SP Medical College,Government approved and supported Testing labs by ICMR,0151 2220115,https://education.rajasthan.gov.in/spmcbikaner
Bikaner,CoVID-19 Testing Lab,SP Medical College,Government approved and supported Testing labs by ICMR,151 222 0115,https://education.rajasthan.gov.in/spmcbikaner
Bilaspur,Police,Champa Thana Incharge,"Movement pass, food and accommodation assistance",9479193108,https://m.facebook.com/Thana-Champa-Police-904808342989382/?tsid=0.06155299300147443&source=result
Chandigarh,CoVID-19 Testing Lab,Post Graduate Institute of Medical Education & Research,Government approved and supported Testing labs by ICMR,1722747585,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Chandigarh,CoVID-19 Testing Lab, Govt. Medical College,Government approved and supported Testing labs by ICMR,1722601023,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Chandigarh,Fundraisers,Chhoti Si Aasha,"This campaign aims at providing relief to daily-wage workers in Chandigarh, Mohali and Panchkula who are affected by the lockdown.

Cities suported: Chandigarh, Mohali, Panchkula
Other Links :
https://www.instagram.com/chhotisiasha/
https://www.facebook.com/pg/ChhotiSiAsha/about/",9811604457,https://www.ourdemocracy.in/Campaign/Covid19reliefCHD
Chandigarh,Fundraisers,I Am Still Human,"I Am Still Human is hosting a Fund Raiser to help underprivileged people living in the slum areas and roads who need help at this hour and are less aware of how important hygiene has become now out of all times. With the amount collected, we aim to provide them with Food and Ration, and some basic hygiene products like Masks, Soaps and Sanitizers.",8427912765,https://iamstillhuman.org/fightcoronavirus/
Chennai,Free Food,No Food Waste,Free food for the needy,90877 90877,https://nofoodwaste.org/covid19
Chennai,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Chennai corona warriors,Groceries delivery to physically disabled person,9003862123,https://milaap.org/fundraisers/support-chennai-corona-warriors-1
Chennai,Senior Citizen Support,Bhoomika Trust,Bhoomika trust has launched a helpline for senior citizens and immuno-compromised individuals in Chennai. Volunteers who man the helpline will provide necessary guidance and doorstep assistance where necessary. ,044-46314726,http://www.bhoomikatrust.org
Chennai,CoVID-19 Testing Lab,Madras Medical College,Government approved and supported Testing labs by ICMR,044 25305000,http://www.mmc.ac.in/mmc/
Chennai,CoVID-19 Testing Lab,King Institute of Preventive Medicine & Research,Government approved and supported Testing labs by ICMR,044 22501520,http://www.kipmr.org.in/
Chennai,CoVID-19 Testing Lab,King Institute of Preventive Medicine & Research,Government approved and supported Testing labs by ICMR,44 2250 1520,http://kipmr.org.in/
Chennai,CoVID-19 Testing Lab,Madras Medical College,Government approved and supported Testing labs by ICMR,44 2530 5000,http://www.mmc.ac.in/mmc/
Coimbatore,Free Food,No Food Waste,We've already formed community Kitchen with volunteers and serving food to needy who are suffered by lockdown. ,90877 90877,https://facebook.com/nofoodwaste.in
Coimbatore,CoVID-19 Testing Lab,Microbiological Laboratory,COVID-19 Testing Laboratory,"18004251316
0422-2540525/2556628 - Other contacts",http://www.microlabindia.com/
Coimbatore,CoVID-19 Testing Lab,Coimbatore Medical College,Government approved and supported Testing labs by ICMR,0422 2301393,http://www.cmccbe.ac.in/
Coimbatore,CoVID-19 Testing Lab,Coimbatore Medical College Hospital,Government approved and supported Testing labs by ICMR,422 230 1393,http://www.cmccbe.ac.in/cmccbe/
Cuttack,Government Helpline,Odisha Police,Police helpine for Cuttack city,0671-2368301,https://www.odishapolice.gov.in/
Cuttack,Other,Odisha Police helpline for goods,Smooth movement of goods,0674-2620200,https://www.odishapolice.gov.in/
Darbhanga,CoVID-19 Testing Lab,Darbhanga Medical College,Government approved and supported testing lab by ICMR,6272256203,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Delhi,Free Food, Delhi Shelter Board,"The Delhi Shelter Board sites are offering free meals, try and send those in need",01123378789,http://delhishelterboard.in/occupancy-report/index-ag2.php
Delhi,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Adhikar Foundation,provide cooked food to labourers,6397804723,http://adhikarfoundation.weebly.com/
Delhi,CoVID-19 Testing Lab,All India Institute Medical Sciences,Government approved and supported Testing labs by ICMR,26588700,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Delhi,CoVID-19 Testing Lab,Lady Hardinge Medical College ,Government approved and supported Testing labs by ICMR,1123363728,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Delhi,CoVID-19 Testing Lab,National Centre for Disease Control,Government approved and supported Testing labs by ICMR,1123913148,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Delhi,CoVID-19 Testing Lab,Ram Manohar Lohia Hospital,Government approved and supported Testing labs by ICMR,1123404286,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Delhi,CoVID-19 Testing Lab,Institute of Liver & Biliary Sciences,Government approved and supported Testing labs by ICMR,1146300000,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Delhi,CoVID-19 Testing Lab,Army Hospital Research & Referral,Government approved and supported Testing labs by ICMR,1123338199,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Delhi,Other,Goonj,Dry ration and family kits of essential ,01141401216,https://www.goonj.org/
Delhi,Free Food,SHUDDHI NGO,"CORONA VIRUS RELIEF FUND - SHUDDHI NGO is fighting Corona Virus by distributing Food, Drinking Water to people in need who do not have homes in India and are on streets without food and water because of coronavirus pandemic.",011-41253951,https://shuddhi.ngo/
Delhi,Free Food,Bolti Aurat,Providing food to the needy. They will pickup the food if you have any and feed the needy.,801033325,https://www.instagram.com/p/B-JsmBtpydm/?igshid=124ud0ema8sgn
Delhi,Free Food,COVID - 19 Safety Net ( Joint initiative of Yellow Streets and Aumtara foundation),Provide food to covid affected people,8586977135,https://www.instagram.com/yellow.streets/
Delhi,Free Food,MCKS Food for the Hungry Foundation,Community kitchen for homeless,9873800500,https://www.instagram.com/mcksfood/
Delhi,Fundraisers,Upay,"Ration Kitss and food for homeless person

centers in delhi, nagpur pune ,gurgaon, mauda, banglore",9403964891,https://www.upay.org.in/contact/
Delhi,Fundraisers,prabhaavfoundation, In the wake of COVID19 lockdown “PRABHAAV FOUNDATION” aims to provide essential supplies to the daily wage workers and in slum areas of Delhi with the aid of Delhi Police.,8700147628,https://www.prabhaavfoundation.org/words
Delhi,Fundraisers,Impact Guru (IIT/NIT Alumni),"This money will enable them to distribute food and sanitation kits to daily wagers across India. We will shortly share videos of the amazing work that our partners are doing on the ground, and the difference that your contribution is making to people’s lives in these hard times. Stay tuned.      ",18001020380,https://www.impactguru.com/fundraiser/help-sppd-rapid-response-helpage-india-elder-care-trust
Delhi,Free Food,Project Rebuilding Livelihoods,Providing ration packets and cooked food to the needy and also for violence victims,7078970807,https://www.instagram.com/rebuilding_livelihoods/
Delhi,Free Food,International Association for Human Values - IAHV (The Art of Living and the Indian Film and Television Industry initiative) ,"""The International Association for Human Values, The Art of Living Foundation and the Indian Film and Television Industry have launched this campaign to support our Daily Wage Earners in their time of need. All proceeds will be used in procuring and distributing ration kits to the families of Daily Wage Earners across India. This campaign is supported by the Local and State Governments, various Organistions, Corporates and NGOs on ground. We shall be strictly adhering to the social distancing guidelines while distributing these kits. This is a 100% not for profit campaign.  One kit includes: 5 kgs Wheat Flour, 2 kgs Dal, 3 kgs Rice, 500 ml Oil, 100 gms Turmeric Powder, 100 gms Red Chilly Powder, 100 gms, Cumin Seeds, 100 gms Black Mustard Seeds, 100 gms Curry Masala, 2 soaps. A donation of 1000 rupees can feed a family for 10 days.""",9818150404,https://www.iahv.org/in-en/donate/
Delhi,Free Food,Sai Palki Pariwar,They are providing cooked meals to the people in need,9990406821,https://www.facebook.com/saipalkipariwarofficial/
Delhi,Fundraisers,CITU  Delhi-NCR,"In Delhi at least in three places migrant labours , some with family, total around ninety, are locked down with no food and unable to move because of police terror. Delhi state committee is providing help to them. All over the country our activists are trying to help out the workers and the poor, providing essential items.",9891320909,https://www.facebook.com/CITUHQ/
Delhi,Fundraisers,Jamghat,"Jamghat is a registered NGO that seeks to rehabilitate street children and to raise awareness within society by using the medium of street theatre as well as interactive workshops, night-walks and other social means of communication. ",9818705715,http://jamghat.org/AboutUs
Delhi,Free Food,Pinjratod,"""They are linked to different worker organisations such as Workers Unity, Krantikari Mazdoor Sangatham and are serving as the point of collection of funds to divert them as per teh requirement of the organisations.  Also, were diverting funds for the DU commutiy kitchen.  providing food for labour stuck in Anand Vihar.  29th March was the first day of operations. Collection amount was approx. 24,950, so far able to divert 10k to Workers Unity.  In contact with organisations and individuals working in Delhi and Bombay and will able to figure out operations in the next few days""",7764923659,https://m.facebook.com/pinjratod/photos/a.885303194889399/2828499827236383/?type=3&source=57&__tn__=EH-R
Delhi,Free Food,Fulfilling Dreams Foundation,"Meant for the families of the students who come to this organization, who are primarily daily wage workers. Ration kits would include atta, rice, oil, masale, tea, sanitary napkins, toothpaste, soap, sugar, several dals) ",9999254729,https://www.instagram.com/fulfillingdreamsfoundation/
Delhi,Free Food,Goal To Feed,"Provide food and essentials to Migrants, Daily Wages/Homeless, Animals.",86975-09899,https://twitter.com/Sreya_Chattrjee?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Delhi,Free Food,Our Democracy,"Essentials, Food, Money for Violence Vcitims, Migrants, Daily Wages/Homeless, Transgender, Sex Workers, Women- single mothers, domestic abuse",9643533224,https://www.ourdemocracy.in/Campaign/covid19Delhi
Delhi,Free Food,Goal To Feed,"Provide food and essentials to Migrants, Daily Wages/Homeless, Animals.",86975-09899,https://twitter.com/Sreya_Chattrjee?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Delhi,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Cement Collective,"The group that I have been working on ground with is constantly working to bridge the gap between the supply and demand. You can call us the *Cement Collective*, we thought it is most appropriate to define the work we're doing. Since the last few days, we were able to successfully manage taking care of more than 600 families, mostly focussing on migrant labourers and around 400 displaced victims of the Delhi Riots that we were working with earlier around Loni and Mustafabad.   The work is ongoing, we are catering to every request that we can, including medical requirements, cooked food packet, water, rent money, basic expenses and dry ration kits, which include -  Atta  Rice Daal (Masoor + chana) Soap and detergent Salt, Mirch, Dhania Aloo, pyaz and one vegetable Sugar  Refined Oil The dry ration kits cost around Rs. 1000/- abd are sufficient to feed a family of 4 for two weeks. A smaller kit for one week costs around Rs. 500/-, and one packet of cooked food costs around Rs. 30-50/-  However, every day more work and more requests have come in.If you can help, please get in touch with me. I will DM you the account details. no amount is small ❤️",9503979599, https://twitter.com/theroguelawyer_
Dhule,CoVID-19 Testing Lab,Shree Bhausaheb Hire Govt. Medical College,Government approved and supported Testing labs by ICMR,2562 239 408,http://sbhgmcdhule.org/
